,visao,uf_bbagil,faixa_vlr_pago_ju_bbagil,metrica,valor_boxplot,unidade_observacao
172,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
173,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
174,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
175,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
176,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,20000.0,contemplado
177,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
178,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
179,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
180,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,50000.0,contemplado
181,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
182,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
183,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
184,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,29975.0,contemplado
185,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
186,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,33000.0,contemplado
187,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
188,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
189,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
190,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
191,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,45000.0,contemplado
192,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
193,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
194,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
195,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
196,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
197,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
198,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
199,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
200,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
201,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
202,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
203,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,29989.0,contemplado
204,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,29999.9,contemplado
205,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
206,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
