,faixa_vlr_pago_ju_bbagil,Quantidade de contemplados,Valor total,% de contemplados,% do valor total
0,Até 2 mil,49037,61250899.15,0.29383531272844937,0.021521782844409847
1,De 2 a 10 mil,70493,371817616.19,0.42240211881164386,0.13064588609173597
2,De 10 a 50 mil,37661,896318619.15,0.22566901957024554,0.3149402694237443
3,De 50 a 200 mil,8348,798630005.12,0.050022170823196675,0.280615334333791
4,Acima de 200 mil,1347,717978454.38,0.008071378066464532,0.2522767273063188
