,tipo_documento,valor_executado_rs,perc_valor_executado,qtde_contemplados,perc_qtde_contemplados,min_valor,mediana_valor,max_valor,media_valor,Até 2 mil,2 a 10 mil,10 a 50 mil,50 a 200 mil,200 a 500 mil,500 mil a 1 milhão,1 milhão a 10 milhões,Acima de 10 milhões
0,CNPJ,937817661,0.6465414671922006,7054,0.3199092970521542,966,100000,22109765,284619,17,762,2369,2998,705,132,69,2
1,CPF,512696666,0.3534585328077995,14996,0.6800907029478458,430,23110,735000,35471,72,3717,9085,1926,191,5,0,0
