,nome_macrorregiao,valor_total_por_regiao,valor_medio_por_regiao,valor_media_aparada_1pct_por_regiao,valor_mediano_por_regiao,quantidade_contemplados_por_regiao,percentual_valor_por_regiao,percentual_quantidade_contemplados_por_regiao,visao
0,Norte,303553050.96,20928.91967457253,13900.745277855152,6000.0,14504,0.10665970516645382,0.08690962693095886,UF
1,Nordeste,852268894.22,10727.650155073887,8222.39616099779,3000.0,79446,0.29946247844507196,0.4760495188332155,UF
2,Centro-Oeste,237420986.84,25433.42119335833,19403.45674051659,5609.610000000001,9335,0.08342282305052445,0.05593638771376868,UF
3,Sudeste,1066203024.52,23353.47770277078,17994.296802778084,6900.0,45655,0.37463270384941655,0.2735699819038146,UF
4,Sul,386549637.45,21539.59865429622,17925.22229674225,8822.630000000001,17946,0.13582228948853328,0.10753448461824239,UF
