,tipo_documento,valor_executado_rs,perc_valor_executado,qtde_contemplados,perc_qtde_contemplados,min_valor,mediana_valor,max_valor,media_valor,Até 2 mil,2 a 10 mil,10 a 50 mil,50 a 200 mil,200 a 500 mil,500 mil a 1 milhão,1 milhão a 10 milhões
0,CPF,746372937,0.5302664374019829,119878,0.8254070988398113,375,3000,640000,6418,46987,55808,16178,896,8,1,0
1,CNPJ,661170299,0.46973356259801724,25357,0.17459290116018866,375,10663,7333334,26838,1959,10392,10183,2582,202,22,17
