,tipo_documento,valor_executado_rs,perc_valor_executado,qtde_contemplados,perc_qtde_contemplados,min_valor,mediana_valor,max_valor,media_valor,Até 2 mil,2 a 10 mil,10 a 50 mil,50 a 200 mil,200 a 500 mil,500 mil a 1 milhão,1 milhão a 10 milhões,Acima de 10 milhões
0,CNPJ,1611607959,0.5606689742423019,32763,0.19523051895815086,375,15000,22109765,51363,1976,11154,12871,5612,907,155,86,2
1,CPF,1262829603,0.43933102575769806,135054,0.8047694810418492,375,3836,735000,9646,47059,59525,25443,2822,199,6,0,0
