,visao,uf_bbagil,faixa_vlr_pago_ju_bbagil,metrica,valor_boxplot,unidade_observacao
73,ESTADO,PR,Acima de 200 mil,quantidade_contemplados,92.0,uf_faixa
74,ESTADO,RJ,De 2 a 10 mil,quantidade_contemplados,1.0,uf_faixa
75,ESTADO,RJ,De 10 a 50 mil,quantidade_contemplados,432.0,uf_faixa
76,ESTADO,RJ,De 50 a 200 mil,quantidade_contemplados,372.0,uf_faixa
77,ESTADO,RJ,Acima de 200 mil,quantidade_contemplados,48.0,uf_faixa
78,ESTADO,RN,De 2 a 10 mil,quantidade_contemplados,214.0,uf_faixa
79,ESTADO,RN,De 10 a 50 mil,quantidade_contemplados,655.0,uf_faixa
80,ESTADO,RN,De 50 a 200 mil,quantidade_contemplados,72.0,uf_faixa
81,ESTADO,RN,Acima de 200 mil,quantidade_contemplados,5.0,uf_faixa
82,ESTADO,RO,Até 2 mil,quantidade_contemplados,2.0,uf_faixa
83,ESTADO,RO,De 2 a 10 mil,quantidade_contemplados,15.0,uf_faixa
84,ESTADO,RO,De 10 a 50 mil,quantidade_contemplados,13.0,uf_faixa
85,ESTADO,RO,De 50 a 200 mil,quantidade_contemplados,1.0,uf_faixa
86,ESTADO,RR,Até 2 mil,quantidade_contemplados,1.0,uf_faixa
87,ESTADO,RR,De 2 a 10 mil,quantidade_contemplados,212.0,uf_faixa
88,ESTADO,RR,De 10 a 50 mil,quantidade_contemplados,189.0,uf_faixa
89,ESTADO,RR,De 50 a 200 mil,quantidade_contemplados,76.0,uf_faixa
90,ESTADO,RR,Acima de 200 mil,quantidade_contemplados,2.0,uf_faixa
91,ESTADO,RS,Até 2 mil,quantidade_contemplados,13.0,uf_faixa
92,ESTADO,RS,De 2 a 10 mil,quantidade_contemplados,119.0,uf_faixa
93,ESTADO,RS,De 50 a 200 mil,quantidade_contemplados,443.0,uf_faixa
94,ESTADO,RS,Acima de 200 mil,quantidade_contemplados,45.0,uf_faixa
95,ESTADO,SC,Até 2 mil,quantidade_contemplados,2.0,uf_faixa
96,ESTADO,SC,De 2 a 10 mil,quantidade_contemplados,6.0,uf_faixa
97,ESTADO,SC,De 10 a 50 mil,quantidade_contemplados,564.0,uf_faixa
98,ESTADO,SC,De 50 a 200 mil,quantidade_contemplados,113.0,uf_faixa
99,ESTADO,SC,Acima de 200 mil,quantidade_contemplados,14.0,uf_faixa
100,ESTADO,SE,De 2 a 10 mil,quantidade_contemplados,75.0,uf_faixa
101,ESTADO,SE,De 10 a 50 mil,quantidade_contemplados,109.0,uf_faixa
102,ESTADO,SE,De 50 a 200 mil,quantidade_contemplados,97.0,uf_faixa
103,ESTADO,SE,Acima de 200 mil,quantidade_contemplados,20.0,uf_faixa
104,ESTADO,SP,De 2 a 10 mil,quantidade_contemplados,129.0,uf_faixa
105,ESTADO,SP,De 10 a 50 mil,quantidade_contemplados,197.0,uf_faixa
106,ESTADO,SP,De 50 a 200 mil,quantidade_contemplados,428.0,uf_faixa
107,ESTADO,SP,Acima de 200 mil,quantidade_contemplados,457.0,uf_faixa
108,ESTADO,TO,De 2 a 10 mil,quantidade_contemplados,93.0,uf_faixa
109,ESTADO,TO,De 10 a 50 mil,quantidade_contemplados,296.0,uf_faixa
110,ESTADO,TO,De 50 a 200 mil,quantidade_contemplados,83.0,uf_faixa
111,ESTADO,TO,Acima de 200 mil,quantidade_contemplados,13.0,uf_faixa
