,porte_populacional,numero_municipios,valor_total_por_porte,quantidade_contemplados_por_porte,percentual_valor_por_porte,percentual_quantidade_por_porte,total_qtd_sexo_valido,total_valor_sexo_valido,qtd_sexo_Feminino,qtd_sexo_Masculino,percentual_qtd_sexo_Feminino,percentual_qtd_sexo_Masculino,valor_sexo_Feminino,valor_sexo_Masculino,percentual_valor_sexo_Feminino,percentual_valor_sexo_Masculino,valor_medio_sexo_Feminino,valor_medio_sexo_Masculino,valor_medio_aparado_sexo_Feminino,valor_medio_aparado_sexo_Masculino
0,-99,27,1450514326.1,22050,0.5096685072749613,0.13212612202341717,14992,512539769.52,7101,7891,0.47365261472785486,0.5263473852721452,251685115.66,260854653.86,0.4910548032120636,0.5089451967879365,35443.61578087593,33057.23658091497,32328.722174530983,30329.07149942478
1,4_grande,332,732942051.71,31255,0.25753449979254445,0.18728353486811355,23061,345257111.29,10740,12321,0.4657213477299337,0.5342786522700663,157622640.0,187634471.29,0.45653698315167873,0.5434630168483212,14676.22346368715,15228.834614885154,13736.053810777768,14202.113888661146
2,1_pequeno_i,3401,266445332.42,57289,0.09362113313972201,0.34328224057140805,48074,145657242.6,23582,24492,0.4905354245538129,0.5094645754461872,63164176.55,82493066.05,0.4336494047430224,0.5663505952569776,2678.491075820541,3368.1637289727255,2426.476499571918,3067.8450389610384
3,2_pequeno_ii,1030,234896275.23,38944,0.0825357128893803,0.23335690231655143,33992,151440770.1,15320,18672,0.45069428100729586,0.5493057189927042,63417566.83,88023203.27,0.4187615183686919,0.5812384816313081,4139.527860966057,4714.181837510711,3812.0518797339128,4327.408784076157
4,3_medio,334,161197608.53,17348,0.056640146903392016,0.10395120022050981,14474,99528344.29,6200,8274,0.4283542904518447,0.5716457095481553,42306318.11,57222026.18,0.42506803877627325,0.5749319612237267,6823.599695161291,6915.8842373700745,6406.958540478906,6460.078178710937
