,natureza_juridica,quantidade_contemplados,valor_contemplados,perc_quantidade_contemplados,perc_valor_contemplados
0,Microempresa-ME,9802,417837614.17,0.3036555142503098,0.26257433796340923
1,MEI,9076,238855895.5,0.28116480793060716,0.1501000065639202
2,Empresa de Pequeno Porte (EPP),1996,85748420.73,0.061833952912019825,0.053885370873832134
3,Administração Pública,123,30424561.609999996,0.0038104089219330854,0.0191191717826592
4,Entidades sem fins lucrativos,10564,749309306.4,0.3272614622057001,0.4708752596355592
5,Entidades Empresariais,719,69135894.16,0.02227385377942999,0.043445853180619914
