,faixa_etaria,valor_recebido_feminino,valor_recebido_masculino,valor_recebido_total,perc_valor_feminino_na_faixa,perc_valor_masculino_na_faixa,perc_valor_total_geral,quantidade_contemplados_feminino,quantidade_contemplados_masculino,quantidade_contemplados_total,perc_quantidade_feminino_na_faixa,perc_quantidade_masculino_na_faixa,perc_quantidade_total_geral
0,15-24 anos,36377863,37763037,74140899,0.4906585057786077,0.5093414942213924,0.05872295531749238,4975,5856,10831,0.4593297017819223,0.5406702982180778,0.08020586492890995
1,25-54 anos,422744478,519936499,942680976,0.44844914502327554,0.5515508549767244,0.7466461014268431,42564,52749,95313,0.446570772087753,0.553429227912247,0.7058130924170616
2,55-64 anos,75512810,71161696,146674506,0.5148325525203812,0.48516744747961893,0.1161728624972952,9591,7677,17268,0.5554204308547602,0.4445795691452398,0.12787322274881516
3,65+ anos,47566259,51491300,99057559,0.48018807951068465,0.5198119204893153,0.07845808075836944,6026,5602,11628,0.5182318541451668,0.4817681458548332,0.08610781990521327
