,faixa_etaria,valor_recebido_centro_oeste,valor_recebido_nordeste,valor_recebido_norte,valor_recebido_sudeste,valor_recebido_sul,valor_recebido_total,perc_valor_total_geral_centro_oeste,perc_valor_total_geral_nordeste,perc_valor_total_geral_norte,perc_valor_total_geral_sudeste,perc_valor_total_geral_sul,perc_valor_total_geral,perc_valor_na_faixa_centro_oeste,perc_valor_na_faixa_nordeste,perc_valor_na_faixa_norte,perc_valor_na_faixa_sudeste,perc_valor_na_faixa_sul,quantidade_contemplados_centro_oeste,quantidade_contemplados_nordeste,quantidade_contemplados_norte,quantidade_contemplados_sudeste,quantidade_contemplados_sul,quantidade_contemplados_total,perc_quantidade_total_geral_centro_oeste,perc_quantidade_total_geral_nordeste,perc_quantidade_total_geral_norte,perc_quantidade_total_geral_sudeste,perc_quantidade_total_geral_sul,perc_quantidade_total_geral,perc_quantidade_na_faixa_centro_oeste,perc_quantidade_na_faixa_nordeste,perc_quantidade_na_faixa_norte,perc_quantidade_na_faixa_sudeste,perc_quantidade_na_faixa_sul
0,15-24 anos,6936056,32714347,10931573,16448663,6808639,73839277,0.005528130066983448,0.026073775229741324,0.008712611182488348,0.013109806327620904,0.005426576855169864,0.05885089966200389,0.0939345039537704,0.4430480312024087,0.1480455053793086,0.22276305719902248,0.09220890226548982,611,6288,1199,2007,703,10808,0.0045391735881015706,0.046714113783932365,0.008907478121331887,0.014910182309852459,0.005222649807586586,0.08029359761080487,0.05653219837157661,0.5817912657290896,0.11093634344929681,0.1856957809030348,0.06504441154700222
1,25-54 anos,88266292,345399576,112617333,293379620,96480692,936143510,0.07034942518199509,0.27528812228250543,0.08975753377607244,0.23382751518367687,0.07689641318487238,0.7461190096091223,0.09428713687223951,0.3689600703602549,0.12029921851621865,0.3133917138851277,0.10306186036615923,5108,50108,9359,23248,7139,94962,0.03794778836010282,0.37225680876038214,0.06952884715391587,0.17271146902812654,0.05303626881416876,0.7054811821166961,0.05378993702744256,0.5276636970577705,0.09855521155830753,0.24481371495966808,0.07517743939681136
2,55-64 anos,17776709,46061127,16271705,51365929,14379960,145855430,0.014168276934039757,0.03671133971502296,0.01296876788773997,0.04093933853926566,0.011461022145677766,0.11624874522174611,0.12187896658164844,0.31579987934489584,0.11156049781872367,0.3521701542771347,0.09859050197759732,1079,8379,1490,4884,1389,17221,0.008015987400264475,0.062248339598532015,0.01106934311992036,0.03628367234744365,0.01031900509635529,0.1279363475625158,0.06265605946228442,0.4865571105046165,0.086522269322339,0.28360722373845887,0.08065733697230126
3,65+ anos,7482181,34839412,10279028,36554881,9690186,98845686,0.00596339898163352,0.027767481068793638,0.008192523589699857,0.029134733042026507,0.007723208824974196,0.07878134550712772,0.07569557162607718,0.352462640616888,0.10399065333250296,0.36981766247430425,0.09803347195022763,639,5608,880,3599,889,11615,0.004747188089683966,0.04166233303121703,0.006537598621161018,0.02673729254268012,0.006604460425241074,0.08628887270998321,0.05501506672406371,0.4828239345673698,0.07576409814894533,0.30985794231597075,0.07653895824365045
