,porte_populacional,soma_quantidade,percentual_quantidade,soma_valor,percentual_valor
0,1_pequeno_i,26405,0.49072628605411833,64860506.54,0.28330914896294135
1,2_pequeno_ii,15814,0.2938968183169789,56814457.35,0.24816419758752978
2,3_medio,5505,0.10230820695807315,31207574.35,0.13631394205723107
3,4_grande,6084,0.11306868867082961,76056438.06,0.33221271139229774
