Categorização Nivel 0;valor_estimado;p025;p975;valor_estimado_pct;;
Prêmio - PNCV; R$ 120,076,655.32 ; R$ 114,904,042.06 ; R$ 125,505,722.11 ;54.4%;;
Ação Cultural - PNCV; R$ 100,518,147.77 ; R$ 92,321,003.82 ; R$ 108,201,816.60 ;45.6%;;
