expenses_agrupado;valor_estimado;p025;p975;valor_estimado_pct
Fomento Cultural;897739657.0795511;882462475.9767687;913243047.6675146;67.36363300070927
Política Nacional de Cultura Viva;217580521.29365164;208708368.73086914;227190348.55404055;16.32657560456835
Obras, Reformas e Aquisição de Bens Culturais;102169636.63148992;94035252.2145345;110123046.4131716;7.6664964631830115
Subsídio e manutenção de espaços e organizações culturais;62786049.09837789;59771967.41774857;66062656.9588354;4.711272734443605
Operacionalização da Política;39701444.7554712;35885320.35431336;44082300.32923193;2.9790747607226478
Outros;12699711.500646468;10878196.412651768;14634555.893872669;0.9529474363731125
