,Sexo,numero_contemplados_sem_vinculo_trabalho_formal,numero_contemplados_com_vinculo_trabalho_formal,numero_contemplados_total,percentual_contemplados_com_vinculo_trabalho_formal,percentual_numero_contemplados_com_vinculo_no_total_geral,percentual_vinculos_rais_no_total_brasil
0,Masculino,36659,35225,71884,0.49002559679483615,0.582799755133105,0.55
1,Feminino,37940,25216,63156,0.3992653112926721,0.417200244866895,0.45
