,cbo_descricao_rais,soma_quantidade,percentual_quantidade,soma_valor,percentual_valor
58,DESENHISTA INDUSTRIAL GRAFICO (DESIGNER GRAFICO),138,0.0022931206380857427,1951192.99,0.0032101919717072384
59,MUSICO INTERPRETE INSTRUMENTISTA,174,0.0028913260219341976,1928475.98,0.003172816907581371
60,GERENTE DE SERVICOS CULTURAIS,92,0.0015287470920571618,1826438.76,0.0030049406051663417
61,ALMOXARIFE,209,0.0034729145895646394,1814741.95,0.0029856964782403912
62,REPOSITOR DE MERCADORIAS,321,0.005333998005982054,1808743.06,0.0029758268299709214
63,MOTORISTA DE CAMINHAO (ROTAS REGIONAIS E INTERNACIONAIS),313,0.005201063476237952,1800225.51,0.00296181336704401
64,AUXILIAR NOS SERVICOS DE ALIMENTACAO,247,0.004104353605849119,1778268.36,0.002925688459352756
65,MUSICO REGENTE,147,0.0024426719840478566,1732154.68,0.002849820123375454
66,FRENTISTA,226,0.0037554004652708543,1726912.59,0.0028411955970886068
67,DIRIGENTE DO SERVICO PUBLICO FEDERAL,122,0.002027251578597541,1707631.68,0.0028094737618798763
68,PROMOTOR DE VENDAS,151,0.002509139248919907,1707254.65,0.002808853454875241
69,PSICOLOGO CLINICO,100,0.001661681621801263,1676004.29,0.0027574389329396323
70,PROFESSOR DE CIENCIAS EXATAS E NATURAIS DO ENSINO FUNDAMENTAL,151,0.002509139248919907,1671137.72,0.00274943222933634
71,ASSESSOR DE IMPRENSA,177,0.0029411764705882353,1640820.02,0.0026995521623007215
72,PROFESSOR DE LINGUA PORTUGUESA,78,0.001296111665004985,1592768.8,0.0026204960968754672
73,RECEPCIONISTA DE HOTEL,55,0.0009139248919906946,1542262.47,0.0025374007721601006
74,SECRETARIO - EXECUTIVO,150,0.0024925224327018943,1473067.17,0.0024235574990044946
75,ASSISTENTE DE VENDAS,135,0.002243270189431705,1447174.3699999999,0.002380957479882336
76,PEDREIRO,244,0.004054503157195082,1436996.37,0.002364212168651982
77,AUXILIAR DE LOGISTICA,128,0.0021269524759056167,1433772.48,0.002358908077335178
78,GARCOM,128,0.0021269524759056167,1426036.94,0.002346181213036214
79,TECNICO EM ADMINISTRACAO,105,0.001744765702891326,1411772.59,0.0023227128518406243
80,ANALISTA DE NEGOCIOS,119,0.0019774011299435027,1362784.05,0.0022421146646701903
81,ANALISTA DE DESENVOLVIMENTO DE SISTEMAS,85,0.0014124293785310734,1338060.11,0.0022014377074938674
82,AGENTE DE SAUDE PUBLICA,154,0.002558989697573945,1330242.37,0.0021885756039943596
83,DIRETOR DE INSTITUICAO EDUCACIONAL PUBLICA,123,0.0020438683948155534,1272819.67,0.002094101150939998
84,ENFERMEIRO,143,0.002376204719175806,1252304.51,0.0020603486711659245
85,PROFESSOR DE MUSICA NO ENSINO SUPERIOR,119,0.0019774011299435027,1240146.71,0.002040346102402277
86,PROFESSOR DE HISTORIA NO ENSINO MEDIO,69,0.0011465603190428714,1182770.97,0.0019459489100882752
87,JORNALISTA,76,0.0012628780325689597,1169978.67,0.001924902432897072
88,GERENTE DE SERVICOS SOCIAIS,90,0.0014955134596211367,1158983.6,0.0019068128407228205
89,EDITOR DE TV  E VIDEO,73,0.0012130275839149218,1153591.89,0.0018979421527670513
90,SUPERVISOR DE ENSINO,122,0.002027251578597541,1144948.3499999999,0.0018837214053282598
91,TECNICO EM SECRETARIADO,94,0.0015619807244931872,1137336.2,0.0018711975479022288
92,AUXILIAR DE CONTABILIDADE,108,0.001794616151545364,1083251.16,0.001782214365773502
93,CABO DA POLICIA MILITAR,61,0.0010136257892987704,1081780.7,0.0017797950977098563
94,DIGITADOR,153,0.002542372881355932,1069338.44,0.001759324522340531
95,PROFESSOR DE NIVEL SUPERIOR NA EDUCACAO INFANTIL (ZERO A TRES ANOS),91,0.0015121302758391492,1049991.48,0.0017274940186500984
96,ESTOQUISTA,78,0.001296111665004985,1021740.7,0.0016810145429574006
97,AUXILIAR DE PESSOAL,192,0.0031904287138584246,1015948.95,0.0016714856908923183
98,ATENDENTE DE FARMACIA - BALCONISTA,156,0.00259222333000997,997996.8,0.001641949992424642
99,CONTINUO,131,0.0021768029245596543,975882.33,0.0016055662546722012
100,PROFESSOR DE EDUCACAO FISICA NO ENSINO MEDIO,62,0.001030242605516783,973622.43,0.0016018481638046952
101,DIRETOR DE SERVICOS CULTURAIS,62,0.001030242605516783,969114.3,0.0015944311820875702
102,LOCUTOR DE RADIO E TELEVISAO,138,0.0022931206380857427,966911.19,0.001590806524726133
103,RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO,79,0.0013127284812229976,959064.0499999999,0.0015778960510016127
104,MOTORISTA DE FURGAO OU VEICULO SIMILAR,155,0.0025756065137919576,944499.56,0.001553933885747006
105,AUXILIAR DE MANUTENCAO PREDIAL,138,0.0022931206380857427,919888.49,0.0015134426274583399
106,PROFESSOR DE APRENDIZAGEM E TREINAMENTO COMERCIAL,64,0.0010634762379528083,919297.89,0.0015124709453191527
107,,101,0.0016782984380192755,918413.57,0.0015110160215986547
108,VARREDOR DE RUA,246,0.004087736789631107,904828.67,0.0014886655226270253
109,ELETRICISTA DE INSTALACOES,88,0.0014622798271851113,903218.74,0.0014860167921388072
110,PROFESSOR DE LINGUA INGLESA,50,0.0008308408109006315,888226.11,0.0014613502313693483
111,OPERADOR DE TELEMARKETING RECEPTIVO,58,0.0009637753406447325,886951.83,0.001459253727616684
112,GERENTE DE LOJA E SUPERMERCADO,70,0.001163177135260884,875630.35,0.0014406271107775962
113,PROFESSOR DE HISTORIA DO ENSINO FUNDAMENTAL,87,0.0014456630109670988,866801.4,0.0014261013183245368
114,VENDEDOR EM COMERCIO ATACADISTA,117,0.0019441674975074776,856293.36,0.0014088130101872784
115,SUPERVISOR DE ENTREVISTADORES E RECENSEADORES,77,0.0012794948487869725,833899.77,0.0013719700514414582
116,TRABALHADOR AGROPECUARIO EM GERAL,169,0.0028082419408441343,818199.77,0.0013461396931867355
117,COSTUREIRO NA CONFECCAO EM SERIE,114,0.0018943170488534397,816673.2,0.0013436281103841295
118,GERENTE DE VENDAS,59,0.000980392156862745,814789.73,0.0013405293393738097
119,ATENDENTE COMERCIAL (AGENCIA POSTAL),66,0.0010967098703888335,811379.21,0.0013349181958429244
120,GUARDA-CIVIL MUNICIPAL,127,0.0021103356596876037,801465.33,0.0013186074269197186
121,ESCRITURARIO DE BANCO,75,0.0012462612163509472,799174.39,0.0013148382676241726
122,EDITOR,31,0.0005151213027583915,788346.64,0.0012970239579685947
123,AJUDANTE DE MOTORISTA,133,0.0022100365569956795,784173.57,0.0012901582322920318
124,PROFESSOR DE ADMINISTRACAO,28,0.0004652708541043536,777725.61,0.0012795497535141897
125,AGENTE INDIGENA DE SAUDE,49,0.0008142239946826188,775621.99,0.0012760887816522916
126,SOCIOEDUCADOR,77,0.0012794948487869725,763732.55,0.0012565277310377673
127,CONTADOR,71,0.0011797939514788967,762481.25,0.0012544690350324084
128,GERENTE DE MARKETING,53,0.0008806912595546693,757624.8200000001,0.0012464790142210083
129,PREPARADOR FISICO,95,0.0015785975407111997,756615.36,0.001244818204447517
130,TECNICO DE CONTABILIDADE,17,0.0002824858757062147,749315.99,0.001232808946986767
131,PROFESSOR DE NIVEL MEDIO NO ENSINO PROFISSIONALIZANTE,68,0.0011299435028248588,744155.5700000001,0.001224318787920217
