,faixa_etaria,numero_contemplados_sem_vinculo_trabalho_formal,numero_contemplados_com_vinculo_trabalho_formal,numero_contemplados_total,percentual_contemplados_sem_vinculo_trabalho_formal,percentual_contemplados_com_vinculo_trabalho_formal,percentual_numero_contemplados_no_total_geral,percentual_numero_contemplados_sem_vinculo_no_total_geral,percentual_numero_contemplados_com_vinculo_no_total_geral,valor_pago_sem_vinculo_trabalho_formal,valor_pago_com_vinculo_trabalho_formal,valor_pago_total,percentual_valor_pago_sem_vinculo_trabalho_formal,percentual_valor_pago_com_vinculo_trabalho_formal,percentual_valor_pago_no_total_geral,percentual_valor_pago_sem_vinculo_no_total_geral,percentual_valor_pago_com_vinculo_no_total_geral
0,15-24 anos,6761.0,4070.0,10831.0,0.6242267565321762,0.3757732434678238,0.08019755060938588,0.09029354416517535,0.06763493751661792,42887526.19,31253372.32,74140898.50999999,0.5784597577302817,0.4215402422697184,0.05871013665817828,0.06569887088850176,0.05123165976449278
1,25-54 anos,46200.0,49123.0,95323.0,0.48466791855061214,0.5153320814493879,0.7058139707080131,0.6170036592857715,0.8163221217761234,433938810.14,508999959.8,942938769.94,0.4601982906775716,0.5398017093224283,0.7466872556987567,0.6647454958021196,0.8343711678091993
2,55-64 anos,11665.0,5606.0,17271.0,0.6754096462277807,0.32459035377221934,0.12788218046114888,0.15578674644087717,0.09316006381281575,91669228.94,55018145.76,146687374.7,0.6249292355765367,0.3750707644234634,0.11615769417071237,0.14042695794335275,0.09018773704128678
3,65+ anos,10252.0,1377.0,11629.0,0.8815891306217215,0.11841086937827844,0.08610629822145216,0.13691605010817598,0.022882876894442968,84293829.89,14768728.97,99062558.86,0.850915127370454,0.14908487262954598,0.07844491347235266,0.12912867536602585,0.02420943538502113
