,regiao,valor_executado_rs,qtde_contemplados,min_valor,mediana_valor,max_valor,media_valor,populacao,perc_valor_executado,perc_qtde_contemplados,perc_populacao,perc_contemplados_populacao,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF
0,Centro-Oeste,237420986.84,9335,378.0,5161.41,3998363.65,26560.128296230003,17071595,0.08342282305052445,0.05593638771376868,0.08030526792381826,0.0005468147528101504,1898,7437,116959750.11,120461236.73,386.7,378.0,15000.0,5000.0,3998363.65,735000.0,73328.99693416928,16402.67384667756
1,Nordeste,852268894.22,79446,380.0,3000.0,7792386.6,11491.369282690182,57112096,0.29946247844507196,0.4760495188332155,0.26865692227181054,0.0013910538320988954,9063,70383,393254434.49,459014459.73,380.0,380.0,12500.0,2500.0,7792386.6,440000.0,56534.565050316276,6829.556014432376
2,Norte,303553050.96,14504,400.0,6000.0,22109764.92,22010.9528649119,18669345,0.10665970516645382,0.08690962693095886,0.08782112931962109,0.0007768885303689016,1576,12928,153453413.56,150099637.4,450.0,400.0,28359.21,5000.0,22109764.92,280000.0,118041.08735384616,12016.622960531584
3,Sudeste,1066203024.52,45655,375.0,6187.59,15333333.33,25210.513206280146,88617693,0.37463270384941655,0.2735699819038146,0.4168601457072801,0.0005151905726094676,11917,33738,668453933.04,397749091.48,375.0,375.0,14200.0,5000.0,15333333.33,600000.0,73239.17311712501,11993.037584200212
4,Sul,386549637.45,17946,375.0,8221.92,4440000.0,23555.7365904936,31113021,0.13582228948853328,0.10753448461824239,0.14635653477747004,0.000576800304926995,7826,10120,259190161.37,127359476.08,375.0,380.0,11272.09,6877.01,4440000.0,461000.0,40593.6039733751,12704.187140149626
