,territorio,Valor (R$),Quantidade de contemplados,% recurso total,% de agentes contemplados,% população no território
0,Favela e Comunidade Urbana,138146185,4555,0.05,0.03,8.0
1,Agrupamento quilombola,7369210,481,0.0,0.0,0.7
2,Agrupamento indígena,5078944,254,0.0,0.0,0.83
