,porte_populacional,numero_municipios,valor_total_por_porte,valor_urbano_por_porte,valor_rural_por_porte,quantidade_contemplados_por_porte,quantidade_contemplados_urbano,quantidade_contemplados_rural,1 milhão a 10 milhões,10 a 50 mil,2 a 10 mil,200 a 500 mil,50 a 200 mil,500 mil a 1 milhão,Até 2 mil,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF,qtd_sexo_Feminino,qtd_sexo_Masculino,valor_sexo_Feminino,valor_sexo_Masculino,total_qtd_sexo_valido,total_valor_sexo_valido,percentual_valor_urbano_por_porte,percentual_valor_rural_por_porte,percentual_valor_por_porte,percentual_quantidade_por_porte,valor_total_CPF_CNPJ,perc_valor_CPF,perc_valor_CNPJ,percentual_qtd_sexo_Feminino,percentual_qtd_sexo_Masculino,percentual_valor_sexo_Feminino,percentual_valor_sexo_Masculino
0,1_pequeno_i,3401,266455633.94,226323399.6,39514920.63,57292,44353,12753,0,4511,23631,7,447,0,28696,9218,48074,120798391.34,145657242.6,375.0,375.0,6568.8,2000.0,437000.0,158500.0,13337.572191674948,3136.663492473674,23582,24492,63164176.55,82493066.05,48074,145657242.6,0.8493849285654927,0.14829831160146495,0.18930547026465464,0.39447791510310876,266455633.94,0.5466472614829335,0.4533527385170665,0.4905354245538129,0.5094645754461872,0.4336494047430224,0.5663505952569776
1,2_pequeno_ii,1031,235362223.78,205242008.53,29207318.29,38980,32170,6703,0,4441,19898,22,336,0,14283,4961,34019,83628892.84,151733330.94,380.0,400.0,10000.0,3000.0,345122.0,322558.25,17239.516149247578,4622.774607439905,15334,18681,63565916.08,88152545.24,34015,151718461.32,0.8720261273612274,0.12409518324954705,0.1672149160307891,0.26839260508830515,235362223.78,0.6446800531670265,0.35531994683297347,0.4508011171541967,0.5491988828458033,0.41897284962525877,0.5810271503747412
2,3_medio,334,161320705.87,147624350.06,12717573.4,17353,15557,1652,0,3917,9524,12,254,1,3645,2874,14479,61735225.1,99585480.77,386.7,400.0,14069.22,5000.0,622055.45,150000.0,22246.927963963964,7052.29663409107,6200,8277,42306318.11,57260514.66,14477,99566832.77,0.9150985873999511,0.07883410459565206,0.11461154578185079,0.11948221847350846,161320705.87,0.6173136934464617,0.38268630655353825,0.4282655246252677,0.5717344753747323,0.4249037247948607,0.5750962752051393
3,4_grande,332,744404670.99,729872836.06,13571123.74,31610,30542,997,17,13492,13147,169,2441,22,2322,8304,23306,395007788.81,349396882.18,375.0,378.0,25000.0,10000.0,7333333.33,640000.0,49667.77176034201,15238.87308879972,10840,12462,159419882.56,189891749.62,23302,349311632.18,0.980478581749529,0.018230841730145872,0.5288680679227055,0.21764726133507764,744404670.99,0.46936417219861004,0.53063582780139,0.46519612050467773,0.5348038794953223,0.45638297689969587,0.5436170231003041
