,regiao,valor_executado_rs,qtde_contemplados,min_valor,mediana_valor,max_valor,media_valor,populacao,perc_valor_executado,perc_qtde_contemplados,perc_populacao,perc_contemplados_populacao,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF
0,Centro-Oeste,112237838.3,8029,378.0,5000.0,2017101.2,14430.166919516585,6114886,0.08042948399422532,0.055435112817255376,0.12357436678323763,0.0013130252959744466,1531,6498,49427904.64,62809933.66,386.7,378.0,10899.32,4686.62,2017101.2,640000.0,36397.57337260678,9783.478763239875
1,Nordeste,404104854.7,69414,380.0,2500.0,1066866.69,6133.208698093735,12019108,0.2895809954590189,0.4792593001739899,0.24289147179511533,0.005775303791263045,6309,63105,144344939.6,259759915.1,380.0,380.0,10000.0,2132.35,1066866.69,322558.25,25471.138097758954,4313.44406602348
2,Norte,114722967.36,11625,400.0,4521.0,1800000.0,10296.44295099623,5861936,0.08221032413675018,0.08026319423347786,0.11846255667298865,0.0019831332174216846,1104,10521,40829280.6,73893686.76,450.0,400.0,18122.0,4000.0,1800000.0,259607.51,41919.179260780285,7267.278398898506
3,Sudeste,549478559.05,39812,375.0,5114.81,15333333.33,14487.411913362159,21614085,0.3937555965053005,0.2748764119417824,0.4367942210981651,0.0018419470451791042,9630,30182,293524110.16,255954448.89,375.0,375.0,12000.0,4848.0,15333333.33,220028.41,35905.08992782875,8602.643393607366
4,Sul,214937048.48,15956,375.0,7677.4,1059934.3,14221.997517369151,3873435,0.15402359990470513,0.11016598083349444,0.07827738365049325,0.004119341101632014,6652,9304,125367796.99,89569251.49,375.0,380.0,10000.0,6000.0,1059934.3,175000.0,21270.410076348828,9715.723125067794
