,regiao,valor_executado_rs,populacao,perc_valor_executado,perc_populacao
0,Centro-Oeste,125183148.53999999,17071595,8.630259369900891,8.030526792381826
1,Nordeste,448164039.52,57112096,30.89690542560716,26.865692227181054
2,Norte,188830083.6,18669345,13.018146749898552,8.782112931962109
3,Sudeste,516724465.46999997,88617693,35.623534092167006,41.686014570728005
4,Sul,171612588.97,31113021,11.831154362426398,14.635653477747004
